word                                                                                count
--------------------------------------------------------------------------------  -------
climate                                                                             12960
change                                                                              12555
global                                                                               3778
warming                                                                              3502
trump                                                                                1942
believe                                                                              1159
us                                                                                    905
doesnt                                                                                887
amp                                                                                   880
real                                                                                  716
going                                                                                 671
world                                                                                 639
shes                                                                                  638
people                                                                                608
via                                                                                   547
new                                                                                   541
dont                                                                                  533
epa                                                                                   532
fight                                                                                 474
trumps                                                                                468
like                                                                                  466
science                                                                               453
hoax                                                                                  451
says                                                                                  430
die                                                                                   418
scientists                                                                            412
donald                                                                                388
say                                                                                   372
think                                                                                 363
thinking                                                                              354
https                                                                                 351
president                                                                             338
husband                                                                               317
isnt                                                                                  317
need                                                                                  301
could                                                                                 301
im                                                                                    289
one                                                                                   286
know                                                                                  284
action                                                                                282
china                                                                                 281
news                                                                                  273
make                                                                                  270
right                                                                                 267
years                                                                                 262
would                                                                                 257
energy                                                                                249
thinks                                                                                249
stop                                                                                  247
weather                                                                               233
still                                                                                 228
cause                                                                                 227
pruitt                                                                                224
must                                                                                  222
due                                                                                   219
chinese                                                                               219
time                                                                                  218
planet                                                                                215
presidentelect                                                                        214
want                                                                                  214
get                                                                                   212
scott                                                                                 212
climatechange                                                                         209
denier                                                                                208
good                                                                                  208
eah                                                                                   207
carbon                                                                                206
really                                                                                206
take                                                                                  205
watch                                                                                 203
environment                                                                           201
deniers                                                                               200
paris                                                                                 198
may                                                                                   194
see                                                                                   191
thats                                                                                 188
future                                                                                185
help                                                                                  184
head                                                                                  181
first                                                                                 180
chief                                                                                 176
great                                                                                 175
back                                                                                  174
man                                                                                   174
combat                                                                                173
cant                                                                                  173
hes                                                                                   172
obama                                                                                 171
millions                                                                              169
issue                                                                                 166
even                                                                                  166
ice                                                                                   165
today                                                                                 164
htt                                                                                   164
mr                                                                                    162
co2                                                                                   162
america                                                                               161
order                                                                                 159
tackle                                                                                159
beforetheflood                                                                        158
thing                                                                                 158
threat                                                                                156
talk                                                                                  155
also                                                                                  152
care                                                                                  152
end                                                                                   151
2                                                                                     150
effects                                                                               149
study                                                                                 147
data                                                                                  147
human                                                                                 147
agreement                                                                             146
way                                                                                   146
denial                                                                                145
research                                                                              144
denying                                                                               142
government                                                                            142
house                                                                                 142
plan                                                                                  142
year                                                                                  139
fighting                                                                              139
made                                                                                  139
white                                                                                 138
said                                                                                  138
leaders                                                                               137
well                                                                                  136
scientist                                                                             136
go                                                                                    136
tell                                                                                  136
every                                                                                 134
look                                                                                  133
much                                                                                  133
deny                                                                                  133
national                                                                              132
wont                                                                                  131
big                                                                                   130
al                                                                                    130
water                                                                                 129
country                                                                               129
heres                                                                                 128
day                                                                                   127
rights                                                                                126
youre                                                                                 126
impact                                                                                125
exxon                                                                                 123
un                                                                                    123
health                                                                                121
arctic                                                                                120
evidence                                                                              119
read                                                                                  119
repo                                                                                  119
fake                                                                                  119
website                                                                               118
policy                                                                                118
believes                                                                              118
u                                                                                     118
sea                                                                                   117
deal                                                                                  117
wants                                                                                 114
denies                                                                                113
gore                                                                                  113
hillary                                                                               110
manmade                                                                               110
humans                                                                                110
created                                                                               109
states                                                                                108
oil                                                                                   107
state                                                                                 106
money                                                                                 106
give                                                                                  106
keep                                                                                  106
clinton                                                                               105
called                                                                                105
please                                                                                104
http                                                                                  104
kids                                                                                  104
snow                                                                                  103
address                                                                               103
many                                                                                  103
cities                                                                                102
primary                                                                               102
billion                                                                               102
caused                                                                                101
hot                                                                                   100
ever                                                                                  100
major                                                                                 100
bad                                                                                   100
contributor                                                                           100
save                                                                                   99
fact                                                                                   99
4                                                                                      99
vote                                                                                   98
pa                                                                                     98
degrees                                                                                98
theres                                                                                 98
dioxide                                                                                97
act                                                                                    96
things                                                                                 96
nothing                                                                                96
calls                                                                                  96
term                                                                                   96
another                                                                                96
coal                                                                                   96
making                                                                                 96
biggest                                                                                96
pay                                                                                    96
hope                                                                                   95
worlds                                                                                 95
problem                                                                                95
work                                                                                   95
suppo                                                                                  94
tillerson                                                                              94
california                                                                             94
leader                                                                                 94
lets                                                                                   94
maybe                                                                                  93
next                                                                                   93
impacts                                                                                92
cop22                                                                                  92
call                                                                                   92
knows                                                                                  92
shows                                                                                  91
green                                                                                  91
last                                                                                   91
war                                                                                    90
use                                                                                    90
penguin                                                                                90
post                                                                                   90
issues                                                                                 89
join                                                                                   89
used                                                                                   89
countries                                                                              88
already                                                                                88
debate                                                                                 88
top                                                                                    88
1                                                                                      87
half                                                                                   86
scientific                                                                             86
women                                                                                  86
administration                                                                         86
show                                                                                   86
lead                                                                                   86
nuclear                                                                                86
actually                                                                               86
causes                                                                                 85
blame                                                                                  85
everyone                                                                               85
saying                                                                                 85
causing                                                                                85
come                                                                                   84
sta                                                                                    84
secretary                                                                              84
americans                                                                              84
food                                                                                   83
role                                                                                   83
taking                                                                                 83
policies                                                                               83
around                                                                                 83
solar                                                                                  82
effos                                                                                  82
yes                                                                                    82
leading                                                                                81
winter                                                                                 81
god                                                                                    80
theyre                                                                                 80
air                                                                                    79
best                                                                                   78
might                                                                                  78
2016                                                                                   77
w                                                                                      77
100                                                                                    77
agree                                                                                  77
travels                                                                                77
thanks                                                                                 77
never                                                                                  77
find                                                                                   77
political                                                                              76
jobs                                                                                   76
rex                                                                                    76
something                                                                              76
clean                                                                                  76
concept                                                                                76
worse                                                                                  76
media                                                                                  76
bill                                                                                   75
yet                                                                                    75
without                                                                                75
elected                                                                                74
republicans                                                                            74
someone                                                                                74
security                                                                               74
ignore                                                                                 74
looks                                                                                  74
got                                                                                    74
environmental                                                                          73
polar                                                                                  73
wrong                                                                                  73
face                                                                                   73
risk                                                                                   72
expes                                                                                  72
extreme                                                                                72
impoant                                                                                72
manufacturing                                                                          72
despite                                                                                72
hell                                                                                   72
since                                                                                  72
stake                                                                                  71
sign                                                                                   71
times                                                                                  71
public                                                                                 70
pollution                                                                              70
lol                                                                                    70
november                                                                               70
natural                                                                                70
cold                                                                                   70
changes                                                                                70
record                                                                                 70
facts                                                                                  70
dangerous                                                                              69
exist                                                                                  69
federal                                                                                69
point                                                                                  69
florida                                                                                68
literally                                                                              68
parisagreement                                                                         68
left                                                                                   68
emissions                                                                              68
team                                                                                   67
levels                                                                                 67
economy                                                                                67
protect                                                                                67
happening                                                                              67
didnt                                                                                  67
better                                                                                 66
hey                                                                                    66
election                                                                               66
continue                                                                               66
united                                                                                 65
discuss                                                                                65
risks                                                                                  65
arent                                                                                  65
mean                                                                                   65
makes                                                                                  65
fuck                                                                                   64
reality                                                                                64
worried                                                                                64
key                                                                                    64
ht                                                                                     64
understand                                                                             63
video                                                                                  63
less                                                                                   63
old                                                                                    62
page                                                                                   62
serious                                                                                62
guy                                                                                    62
imvotingbecause                                                                        62
away                                                                                   62
hrc                                                                                    62
instead                                                                                62
depament                                                                               62
told                                                                                   62
means                                                                                  62
panels                                                                                 61
rise                                                                                   61
nasa                                                                                   61
resources                                                                              61
gonna                                                                                  61
bc                                                                                     61
washington                                                                             61
3                                                                                      61
heat                                                                                   61
whether                                                                                60
truth                                                                                  60
tackling                                                                               60
documentary                                                                            60
claims                                                                                 60
